,ds,dv,dt,method,acc
0,CIFAR10,UniformNoise,NormalNoise,NeuronActivationPatterns/Resnet,88.815
1,CIFAR10,UniformNoise,MNIST,NeuronActivationPatterns/Resnet,92.53
2,CIFAR10,UniformNoise,NotMNIST,NeuronActivationPatterns/Resnet,87.25
3,CIFAR10,UniformNoise,FashionMNIST,NeuronActivationPatterns/Resnet,86.2049
4,CIFAR10,UniformNoise,CIFAR100,NeuronActivationPatterns/Resnet,75.575
5,CIFAR10,UniformNoise,TinyImagenet,NeuronActivationPatterns/Resnet,77.15
6,CIFAR10,NormalNoise,UniformNoise,NeuronActivationPatterns/Resnet,94.08
7,CIFAR10,NormalNoise,MNIST,NeuronActivationPatterns/Resnet,92.675
8,CIFAR10,NormalNoise,NotMNIST,NeuronActivationPatterns/Resnet,88.85
9,CIFAR10,NormalNoise,FashionMNIST,NeuronActivationPatterns/Resnet,87.8124
10,CIFAR10,NormalNoise,CIFAR100,NeuronActivationPatterns/Resnet,78.945
11,CIFAR10,NormalNoise,TinyImagenet,NeuronActivationPatterns/Resnet,80.675
12,CIFAR10,MNIST,UniformNoise,NeuronActivationPatterns/Resnet,95.02
13,CIFAR10,MNIST,NormalNoise,NeuronActivationPatterns/Resnet,91.255
14,CIFAR10,MNIST,NotMNIST,NeuronActivationPatterns/Resnet,88.305
15,CIFAR10,MNIST,FashionMNIST,NeuronActivationPatterns/Resnet,87.492
16,CIFAR10,MNIST,CIFAR100,NeuronActivationPatterns/Resnet,77.525
17,CIFAR10,MNIST,TinyImagenet,NeuronActivationPatterns/Resnet,79.245
18,CIFAR10,NotMNIST,UniformNoise,NeuronActivationPatterns/Resnet,94.095
19,CIFAR10,NotMNIST,NormalNoise,NeuronActivationPatterns/Resnet,92.13
20,CIFAR10,NotMNIST,MNIST,NeuronActivationPatterns/Resnet,92.675
21,CIFAR10,NotMNIST,FashionMNIST,NeuronActivationPatterns/Resnet,87.8124
22,CIFAR10,NotMNIST,CIFAR100,NeuronActivationPatterns/Resnet,78.945
23,CIFAR10,NotMNIST,TinyImagenet,NeuronActivationPatterns/Resnet,80.675
24,CIFAR10,FashionMNIST,UniformNoise,NeuronActivationPatterns/Resnet,93.67
25,CIFAR10,FashionMNIST,NormalNoise,NeuronActivationPatterns/Resnet,92.305
26,CIFAR10,FashionMNIST,MNIST,NeuronActivationPatterns/Resnet,92.48
27,CIFAR10,FashionMNIST,NotMNIST,NeuronActivationPatterns/Resnet,88.885
28,CIFAR10,FashionMNIST,CIFAR100,NeuronActivationPatterns/Resnet,79.345
29,CIFAR10,FashionMNIST,TinyImagenet,NeuronActivationPatterns/Resnet,81.13
30,CIFAR10,CIFAR100,UniformNoise,NeuronActivationPatterns/Resnet,89.81
31,CIFAR10,CIFAR100,NormalNoise,NeuronActivationPatterns/Resnet,89.43
32,CIFAR10,CIFAR100,MNIST,NeuronActivationPatterns/Resnet,89.325
33,CIFAR10,CIFAR100,NotMNIST,NeuronActivationPatterns/Resnet,87.33
34,CIFAR10,CIFAR100,FashionMNIST,NeuronActivationPatterns/Resnet,86.3224
35,CIFAR10,CIFAR100,TinyImagenet,NeuronActivationPatterns/Resnet,82.055
36,CIFAR10,TinyImagenet,UniformNoise,NeuronActivationPatterns/Resnet,89.805
37,CIFAR10,TinyImagenet,NormalNoise,NeuronActivationPatterns/Resnet,89.57
38,CIFAR10,TinyImagenet,MNIST,NeuronActivationPatterns/Resnet,89.325
39,CIFAR10,TinyImagenet,NotMNIST,NeuronActivationPatterns/Resnet,87.33
40,CIFAR10,TinyImagenet,FashionMNIST,NeuronActivationPatterns/Resnet,86.3224
41,CIFAR10,TinyImagenet,CIFAR100,NeuronActivationPatterns/Resnet,80.38
